"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"2700099C18Rik",112.875014541095,-0.37375924740188,0.445429881753131,-0.839097830461737,0.401414413460089,0.947059450717499,"No","NotSig"
"Zkscan17",277.35521644359,0.257570789969339,0.307314972222176,0.838132903538219,0.401956065141436,0.947215846161714,"No","NotSig"
"Dnajc14",1058.45317384397,0.172338435857613,0.205623975206043,0.838124229846851,0.401960936015322,0.947215846161714,"No","NotSig"
"Trim24",206.667723088781,-0.274219770838294,0.327087795017281,-0.838367481195091,0.401824347092314,0.947215846161714,"No","NotSig"
"Atp6v0a1",349.689112299573,-0.279356740169107,0.333583822551452,-0.837440910750458,0.4023447779244,0.94794977814322,"No","NotSig"
"Utrn",646.640102107527,-0.18580436656787,0.222150927841138,-0.836387983491745,0.402936670505349,0.948271685189762,"No","NotSig"
"Trip11",986.249324176018,-0.17203976507859,0.205583022566516,-0.836838387386426,0.402683416601568,0.948271685189762,"No","NotSig"
"Aco1",600.175790112023,0.189472692214648,0.226403689246277,0.836879879676097,0.402660091043748,0.948271685189762,"No","NotSig"
"Areg",29.0404290815862,-0.714691379418014,0.854623118084006,-0.836264973758599,0.403005853226787,0.948271685189762,"No","NotSig"
"Lif",22.4930886774406,-0.68034212840399,0.813326917114688,-0.836492822366599,0.402877712995066,0.948271685189762,"No","NotSig"
"Egr2",775.984745964061,0.261423135173444,0.312644489184832,0.836167417679618,0.403060725449883,0.948271685189762,"No","NotSig"
"Plekhg6",14.3648913666036,0.851260727542538,1.01780730935187,0.836367276714304,0.402948315843446,0.948271685189762,"No","NotSig"
"Olfr705",73.8899789480919,-0.395541439967574,0.472938764324065,-0.836348106361911,0.402959097287277,0.948271685189762,"No","NotSig"
"Nfyb",974.835243542847,0.168368296701996,0.201445211828513,0.835801929337121,0.403266340933983,0.948414643414243,"No","NotSig"
"Zfp644",909.541342572512,-0.171473728050926,0.205154619991131,-0.835826792778726,0.403252351331971,0.948414643414243,"No","NotSig"
"Gin1",551.727852401102,-0.238939355846346,0.286008441955233,-0.835427633579241,0.403476976380055,0.948693328633801,"No","NotSig"
"Clec4a1",37.0688695625324,0.588478742350019,0.704483246876562,0.83533390603557,0.403529731996203,0.948693328633801,"No","NotSig"
"Sp1",386.25682126004,0.222214943342451,0.266315786053333,0.834403948168324,0.404053393167129,0.948932834533714,"No","NotSig"
"Cse1l",1230.36514648554,0.16457325377825,0.197554323022775,0.833053163606434,0.404814746713519,0.948932834533714,"No","NotSig"
"Epha2",20.2901496604256,-0.730623447423228,0.876088190991886,-0.833961072567402,0.404302920219242,0.948932834533714,"No","NotSig"
"Cct4",5197.92236150256,0.141184056934762,0.169650909031784,0.832203362425316,0.405294166283744,0.948932834533714,"No","NotSig"
"Vps4b",3426.10410937738,0.14851208490855,0.17856824104656,0.831682521136707,0.405588169139763,0.948932834533714,"No","NotSig"
"H13",6957.64805847825,0.144784372127413,0.173738945813389,0.833344368757272,0.404650539921779,0.948932834533714,"No","NotSig"
"Id2",63105.4433749913,-0.18187765635031,0.218552032991709,-0.832193843546673,0.405299538327599,0.948932834533714,"No","NotSig"
"Ngdn",2081.63766395029,0.15095929580883,0.18137358955737,0.832311342446471,0.405233230004383,0.948932834533714,"No","NotSig"
"Cpt1a",885.39054739303,0.211580912894752,0.254119433940494,0.832604219259741,0.405067978636576,0.948932834533714,"No","NotSig"
"Slc16a14",24.6677123967614,0.72885381912982,0.874688669088421,0.833272277197112,0.404691187702786,0.948932834533714,"No","NotSig"
"Ubr1",691.994013557145,-0.186077521090294,0.223285640056273,-0.833360896130167,0.404641221546268,0.948932834533714,"No","NotSig"
"Igf2bp3",141.536619750071,-0.356939401829238,0.428269827372793,-0.833445129718501,0.404593731406326,0.948932834533714,"No","NotSig"
"Fbxl14",347.999675257479,0.23701045240561,0.284235612065652,0.833852066189602,0.404364351241522,0.948932834533714,"No","NotSig"
"Lsm4",1722.93286434349,0.16788058827348,0.201342606006435,0.833805579471414,0.404390550733905,0.948932834533714,"No","NotSig"
"Gpsm3",3232.97167476143,0.146505525289639,0.17597303391174,0.832545316932592,0.405101210158304,0.948932834533714,"No","NotSig"
"Dmxl1",568.938240137517,-0.208026751746693,0.249179873480902,-0.834845723455417,0.403804577908179,0.948932834533714,"No","NotSig"
"Wapl",1890.84983248889,-0.155975295121924,0.187458236302858,-0.83205357202833,0.405378706446264,0.948932834533714,"No","NotSig"
"Ncapg2",284.034910761674,-0.24017786126517,0.288177608517081,-0.833436929749987,0.404598354328392,0.948932834533714,"No","NotSig"
"Zc3hav1l",25.6782056633048,-0.638103003552178,0.765658802001415,-0.833403863292881,0.404616996629595,0.948932834533714,"No","NotSig"
