gene_id	a160	a163	a169	a172
S100a4	6876	5609	3191	2410
S100a3	2	13	5	3
S100a5	5	0	2	1
S100a6	3738	3103	4305	3629
Scn4a	1	0	5	17
Icam2	303	290	322	368
Mapk7	863	643	687	1392
Epn2	16	7	3	13
B9d1	81	82	96	102
Sec24b	729	743	800	1340
N4bp3	113	68	47	109
Rmnd5b	850	761	949	1504
Nhp2	3263	3057	4128	4147
Vps9d1	1109	846	847	1851
Zfp276	590	538	435	941
C1ql4	6	13	10	11
Mfsd10	1664	1590	1772	2874
Luzp1	490	363	629	720
Kctd10	1991	1817	1924	3393
Poldip2	862	799	1005	1550
Ift20	1535	1488	1797	1763
Col6a1	6	0	5	0
Pcbp3	96	89	109	307
Lgals9	819	555	604	1130
Araf	2719	2491	2876	4255
Cfp	5580	6036	3208	5489
Timp1	2	6	2	6
Uxt	1255	1162	1447	1544
Cnnm3	203	149	177	259
Lman2l	721	614	726	1505
Mcm3ap	215	228	191	403
Pcnt	373	346	316	517
Ftcd	0	5	11	0
Mxd1	4232	2206	2559	4598
Gmcl1	912	743	755	1338
Snrnp27	1661	1149	1900	1799
Oas1c	4	6	3	0
Ocrl	103	95	111	71
Calm1	123484	109735	184833	168595
Agpat3	3030	3152	3682	6137
Slc26a3	36	43	31	35
Sema6b	24	20	7	40
Uhrf1	564	388	494	552
Dpp9	624	609	586	1099
Ramp2	13	23	18	3
Lsr	3008	2772	3807	6514
Gramd1a	721	584	633	1236
Hpn	9	2	24	54
Gabrg1	3	14	5	0
Ckb	13343	14151	16965	23376
Sp1	326	303	345	643
Itgb7	4129	3361	4229	7129
Myg1	691	597	696	810
Rarg	38	23	50	42
Pfdn5	6099	4962	6139	5617
Efnb2	22	20	30	32
Rrp15	648	591	743	929
Rnd2	22	7	33	30
Srr	146	158	99	223
Sync	1	2	1	3
Fndc5	1031	749	1095	1866
Acp5	1131	692	1066	1401
Fbxo9	652	525	569	926
Vps50	798	846	906	1242
Hars	1501	1728	2094	2687
Zmat2	2634	2463	3109	3359
Ube2c	933	699	1030	1389
Smg5	537	558	599	795
Cct3	6243	5894	7529	10742
Glmp	2435	2013	2747	4117
Mef2d	785	861	957	1282
Tmem79	34	36	24	24
Snd1	1809	1768	2224	3731
Col18a1	10	6	8	10
Slc19a1	105	83	139	208
Kpnb1	668	610	768	1344
Npepps	623	499	557	929
Tbx21	48	55	107	213
Mrpl10	1188	1067	1153	1870
Cyp51	1144	949	1253	1571
Tcf25	3161	2839	3501	5300
Tubb6	3286	3112	4111	6697
