"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"Cct3",4437.75213397316,0.0925128515995113,0.0962441040719147,0.961231365719657,0.3364358488118,0.584612028517486,"No","NotSig"
"Fut7",197.876554829426,-0.23853019569303,0.248251408243478,-0.960841259192719,0.336631989676347,0.584869194878184,"No","NotSig"
"Mlf1",26.5677397931221,0.591467108584842,0.616136931379067,0.959960486804439,0.337075101854973,0.585555317794111,"No","NotSig"
"Arl6ip6",1209.20246501347,0.126373927191414,0.131698225965404,0.959571978020503,0.337270677809044,0.585560124914145,"No","NotSig"
"Man2a2",277.773398350739,0.201616983362609,0.210105319118537,0.959599615128549,0.337256762834564,0.585560124914145,"No","NotSig"
"Evi2b",11188.0062318404,-0.0795823261750371,0.0829333408270985,-0.959593878425233,0.337259651170106,0.585560124914145,"No","NotSig"
"Gbp6",33.9596878940563,-0.555171550092585,0.578462041572456,-0.959737217300276,0.337187487174351,0.585560124914145,"No","NotSig"
"Vbp1",4093.71790609651,0.0872506477106772,0.090971497825699,0.959098726480782,0.337509011923429,0.585890179600717,"No","NotSig"
"Dynlt1c",1507.68147756027,-0.108930555173964,0.113610019658714,-0.958811163849748,0.337653884132523,0.586038133662267,"No","NotSig"
"Abitram",375.272255049196,-0.171884422443848,0.179281945430602,-0.958738048223506,0.337690725686193,0.586038133662267,"No","NotSig"
"Letm1",1158.52854135102,0.125298854874807,0.130749403981944,0.95831300991713,0.33790494543448,0.58624239890575,"No","NotSig"
"Mapre1",10417.9139855165,0.0814375299851516,0.0849742247537385,0.958379205237393,0.337871577186586,0.58624239890575,"No","NotSig"
"Edrf1",180.285621058589,-0.235859086234405,0.246156846743483,-0.958165857885687,0.337979130549272,0.5862873736845,"No","NotSig"
"Tmem163",27.8870923837627,0.581860301461663,0.607368038626946,0.958002832643373,0.338061330186649,0.58632481132921,"No","NotSig"
"Rnf26",211.732931695372,0.24187524824627,0.252497406065791,0.95793161607073,0.338097242621099,0.58632481132921,"No","NotSig"
"Zfx",1086.55683908984,-0.117583825947809,0.122811346589262,-0.957434546671525,0.338347968407357,0.58667586643057,"No","NotSig"
"Rcor1",842.245979115085,0.13107003039295,0.137002053797395,0.956701208193437,0.338718088138396,0.587233814001033,"No","NotSig"
"Tmbim6",2010.25781714074,0.100857286695758,0.105447489641016,0.956469300873023,0.338835187027455,0.587306221105084,"No","NotSig"
"Serpina3g",10359.9705545347,0.0785128024474979,0.0820896960304268,0.956427009041389,0.338856544593804,0.587306221105084,"No","NotSig"
"Glmn",150.214830302418,0.258920094540371,0.270882493696605,0.955839157440596,0.339153501771667,0.587737052713582,"No","NotSig"
"Derl2",1865.31129751167,0.102180734704999,0.106965413300267,0.955268918731361,0.339441721157819,0.587901059113942,"No","NotSig"
"Esrra",488.78996391292,0.162596116850338,0.170193034006917,0.955362937144247,0.339394190019915,0.587901059113942,"No","NotSig"
"Arhgdia",22882.1891607353,0.0778373372908861,0.0814593314941055,0.955536165878289,0.339306625174635,0.587901059113942,"No","NotSig"
"Arl14ep",236.874253932096,-0.219032978132092,0.229256992918758,-0.955403694969126,0.33937358617201,0.587901059113942,"No","NotSig"
"Cpeb4",209.704907656844,-0.220100467625949,0.230458158750559,-0.955056088355624,0.33954933361709,0.588003607238833,"No","NotSig"
"Scrn2",118.592890140525,0.291856628671363,0.305726851679392,0.954631976446169,0.339763840632003,0.588123558848328,"No","NotSig"
"Slc22a17",25.0464139092474,0.629291586764581,0.659068680437238,0.954819437554061,0.339669015976107,0.588123558848328,"No","NotSig"
"Eef1aknmt",156.167515955128,0.261773670332862,0.274188856814596,0.954720309840567,0.339719156269566,0.588123558848328,"No","NotSig"
"Gm7072",595.258699122548,-0.147386726891798,0.154477803537396,-0.954096468986353,0.340034813292453,0.588508749376937,"No","NotSig"
"Araf",2766.81245751357,0.0943891976395023,0.098970881853214,0.953706745580919,0.3402321046837,0.588682467981426,"No","NotSig"
"Oasl1",162.92053384594,0.269121430762172,0.282158404616459,0.953795550155563,0.340187142301627,0.588682467981426,"No","NotSig"
"Jmy",342.338090337674,0.178511070064714,0.187323107470396,0.952958086566686,0.340611307395839,0.588751588253366,"No","NotSig"
"Rnf19a",417.041915613768,0.165538110380054,0.173650875947123,0.953281171069134,0.340447628911864,0.588751588253366,"No","NotSig"
"Cdk8",196.301682385281,-0.234251034101656,0.245752721993446,-0.95319812615505,0.340489695648657,0.588751588253366,"No","NotSig"
"Ssbp1",2236.68359771281,-0.102854497009098,0.107931658910035,-0.952959474984354,0.340610603898961,0.588751588253366,"No","NotSig"
"Ddx28",155.801586076621,-0.281354488971815,0.295132766271557,-0.953314986086415,0.340430500732279,0.588751588253366,"No","NotSig"
"Tmem248",1086.62861135048,0.118367310780723,0.12420019360099,0.953036443413241,0.340571606247884,0.588751588253366,"No","NotSig"
"Lrrtm2",41.5547093638796,-0.480987168762392,0.504635234652345,-0.953138298188306,0.34052000381068,0.588751588253366,"No","NotSig"
"St18",19.9828385077555,-0.784560387105332,0.823675492983757,-0.95251150943349,0.340837631709098,0.588999867043563,"No","NotSig"
"Nup160",456.091332776998,-0.164328238813201,0.172526104423391,-0.952483332087115,0.340851915156095,0.588999867043563,"No","NotSig"
"Golm2",35.5626042797808,0.514659625224737,0.540638943539044,0.951947008951582,0.341123857106251,0.589385950238478,"No","NotSig"
"Vps13d",356.449209668867,-0.214554554181297,0.225575326612138,-0.951143715066896,0.341531426001809,0.589584933924218,"No","NotSig"
"Itm2a",33.3631309604439,0.538973960838129,0.566753517190499,0.950984765846574,0.341612109319567,0.589584933924218,"No","NotSig"
"Irf2",2735.32273967214,0.0934203692963901,0.0981751228164968,0.951568652182957,0.341315785959163,0.589584933924218,"No","NotSig"
"Ciapin1",1449.95912129636,0.11124987772716,0.117004083970121,0.950820466707554,0.341695521098965,0.589584933924218,"No","NotSig"
"Fam207a",627.54204816107,0.141531730755783,0.148790906883188,0.951212232793877,0.341496649866723,0.589584933924218,"No","NotSig"
"Atpif1",8185.21684113525,0.0858102062404772,0.0902060057072822,0.951269325890902,0.341467674027462,0.589584933924218,"No","NotSig"
"Uxs1",456.768815729065,0.157811809616411,0.165955478918338,0.950928590276106,0.341640627201273,0.589584933924218,"No","NotSig"
"Tmprss11d",25.7609593307192,-0.603290960783333,0.634398232195428,-0.950965702876497,0.341621786585467,0.589584933924218,"No","NotSig"
"Prpf4",521.89320230219,-0.15250780009098,0.160358393037121,-0.951043454617788,0.341582317222899,0.589584933924218,"No","NotSig"
