gene_id	a161	a165	a170	a173
Mtfp1	4	14	11	11
Rab23	100	123	76	125
Rab11a	5125	4958	5957	7002
Eif2b2	927	1007	1036	1179
Dlst	1991	2131	2368	2657
Pgf	16	11	29	22
Ulk2	324	393	264	345
Ccl24	15	10	38	76
Dgkq	99	83	84	137
Grap	1862	2291	1043	1167
Pou1f1	12	3	7	7
Chmp2b	2019	2181	2235	2824
Plod3	207	173	331	453
Ap1s1	1092	1164	1774	2040
Mapk13	182	190	296	285
Srpk1	1199	1305	1310	1502
Pax3	3	4	3	1
Lbr	1718	2147	1764	2224
Prcc	83	82	104	116
Rrnad1	349	348	313	419
Hdgf	2143	2525	2729	3345
Slc25a18	4	5	0	0
Thop1	69	91	75	133
Apba3	221	228	308	411
Matk	1514	1869	2879	3449
Pias4	526	543	668	698
Map2k1	2495	2946	2899	3535
Sgta	932	935	1181	1399
Nmrk2	13	10	13	15
Tmem242	1489	1456	1494	1695
Dtx2	172	188	298	314
Hspb1	54	44	14	17
Rasa4	1997	2209	3172	3827
Syt5	0	2	1	12
Hnrnpa2b1	26096	29023	28989	33901
Fxyd4	82	69	48	83
Ccdc130	319	319	404	456
Mri1	1397	1737	2162	2762
Prkacb	1678	1720	1961	2260
Sgsh	654	606	689	666
Cstb	3408	3005	4535	5565
Sh2b2	304	330	496	554
Pex5	207	213	302	286
Jkamp	864	831	1303	1505
Cd44	2721	2701	2371	3713
Slc1a2	62	30	32	96
Eif2ak4	407	429	428	539
Wdr1	9211	10431	10776	12751
Slc2a9	12	35	21	12
Ccn4	2	0	5	0
Ndrg1	585	675	1596	1756
4930550C14Rik	10	1	4	5
Man2b1	9915	11903	10768	13293
Klf5	10	4	9	15
Wdr83	612	621	641	701
Prdx2	3947	3290	5094	5919
Polr2a	1064	819	780	799
Senp3	281	239	303	390
Corin	4	4	9	12
Plekha8	47	26	58	60
Spc25	850	1118	1105	1096
Dnah2	382	374	476	601
Ufd1	1266	1352	1598	1727
Zfp287	116	104	72	111
Prlr	50	49	49	40
Letm1	914	1128	1240	1411
Ubqln1	1899	2461	2492	2946
Cadm3	188	190	277	307
Txn2	3795	4098	4510	5565
Slc1a3	36	19	40	46
Crbn	1043	1165	1116	1077
Il5ra	5	12	7	16
Msh6	434	405	580	633
Fbxo11	614	463	419	575
Mlxipl	37	73	47	78
Tbl2	128	131	124	210
Bud23	1043	1087	1202	1457
Nid1	77	70	69	77
Mcm5	1471	1967	1567	1884
Hmox1	469	448	2835	2220
Mprip	380	402	427	490
Cic	276	310	356	338
Pafah1b3	680	780	841	869
Il27ra	119	140	203	265
Prkaca	479	547	756	763
Asf1b	1164	1568	1310	1623
Ddx39a	2804	3131	3478	4272
Dnajb1	2728	4135	2304	2896
Msh4	22	24	9	11
Usp40	277	316	331	350
Evx1	5	1	5	17
Kbtbd4	173	174	154	249
Celf1	741	796	757	953
Ndufs3	964	1008	1195	1430
Por	941	1013	1354	1271
Igf1r	29	39	89	129
Insr	596	467	562	520
Fcer2a	98	49	159	215
Atp4a	20	26	41	26
Trim28	660	704	836	1064
Ube2m	1813	1930	2627	3373
Adcy9	8	6	1	8
Mef2c	3173	3341	2531	3347
Ctr9	673	546	670	906
Eif4g2	4510	4723	4754	6114
Irag1	21	5	5	15
Pcyt1a	1192	1137	1310	1316
Zfp592	437	504	465	562
Psmd4	3902	3893	4536	5158
Tmod4	8	24	6	7
Insrr	1	2	2	4
Cabp5	0	3	2	4
Snx6	2491	2372	2626	2975
Mthfd2	2371	2566	2074	2653
Kit	3199	3753	4285	5390
Tomm40l	309	346	348	366
Apoa2	8	3	1	2
Pan2	645	575	566	615
Cs	3120	3405	3798	4817
Ampd3	539	519	373	474
Bcas2	2655	2664	3106	3544
Sh2d1a	7	11	11	5
Ctcf	2449	2252	2217	2596
Pard6a	281	363	572	608
Agrp	4	4	2	6
Tfap4	7	10	9	21
Ranbp1	2948	3164	3481	4216
Cd247	14	18	9	12
Rfx5	639	612	511	730
Psmb4	4618	4665	4450	5763
Mmp8	38	20	31	37
Slc30a4	95	95	87	95
Sqor	107	102	318	356
